,num_layers,layers,accuracy
13,3,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.38199999928474426
14,2,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.30399999022483826
15,6,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.3959999978542328
16,5,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 128, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.44600000977516174
17,3,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 128, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.36550000309944153
18,4,"[{'type': 'Conv2D', 'filters': 128, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.4424999952316284
19,6,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 128, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.38800001144409184
20,6,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.3434999883174896
21,3,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.44350001215934753
22,5,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.34850001335144043
